"SERVICE REQUEST TYPE","SERVICE REQUEST NUMBER","DATE SERVICE REQUEST WAS RECEIVED","LOCATION OF BUILDING ON THE LOT (IF GARAGE, CHANGE TYPE CODE TO BGD).","IS THE BUILDING DANGEROUS OR HAZARDOUS?","IS BUILDING OPEN OR BOARDED?","IF THE BUILDING IS OPEN, WHERE IS THE ENTRY POINT?","IS THE BUILDING CURRENTLY VACANT OR OCCUPIED?","IS THE BUILDING VACANT DUE TO FIRE?","ANY PEOPLE USING PROPERTY? (HOMELESS, CHILDEN, GANGS)","ADDRESS STREET NUMBER","ADDRESS STREET DIRECTION","ADDRESS STREET NAME","ADDRESS STREET SUFFIX","ZIP CODE","X COORDINATE","Y COORDINATE","Ward","Police District","Community Area","LATITUDE","LONGITUDE","Location"
"Vacant/Abandoned Building","18-03182513","11/19/2018","Front",,"Open","BASEMENT WINDOW FRONT","Vacant","false","true","8454","S","HALSTED","ST","60620","1172448.03078517","1848793.34220956","21","6","71","41.74052744613","-87.64374839628","(41.740527446132, -87.643748396281)"
"Vacant/Abandoned Building","18-03182664","11/19/2018","Front",,"Open","FRONT DOOR OPEN","Vacant","false","true","8106","S","KINGSTON","AVE","60617","1194588.64351769","1851716.55158812","7","4","46","41.74803348864","-87.56253273675","(41.748033488636, -87.562532736746)"
"Vacant/Abandoned Building","18-03181891","11/19/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","10245","S","STATE","ST","60628","1178062.4266116","1836939.22993441","9","5","49","41.70787293045","-87.6235360475","(41.707872930455, -87.623536047505)"
"Vacant/Abandoned Building","18-03183631","11/19/2018",,,,,,,,"7914","S","MOZART","ST","60652","1158753.30997516","1851988.10997569","18","8","70","41.74958457821","-87.69383772314","(41.749584578215, -87.693837723139)"
"Vacant/Abandoned Building","18-03185038","11/19/2018","Rear",,"Open","REAR DOOR","Vacant","false","true","822","S","KARLOV","AVE","60624","1149179.47238568","1896022.18090437","24","11","26","41.8706104085","-87.72778368681","(41.870610408498, -87.727783686806)"
"Vacant/Abandoned Building","18-03190037","11/19/2018","Front",,"Open","FRONT DOOR","Vacant","false","true","6719","S","MARSHFIELD","AVE","60636","1166494.39751037","1860152.09200743","16","7","67","41.77182627197","-87.66523873074","(41.771826271974, -87.665238730738)"
"Vacant/Abandoned Building","18-03181889","11/19/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","10239","S","STATE","ST","60628","1178061.8266116","1836967.92993441","9","5","49","41.70795170077","-87.6235373784","(41.707951700768, -87.623537378403)"
"Vacant/Abandoned Building","18-03189159","11/19/2018","Front",,"Open",,"Vacant","true","false","8350","S","GREEN","ST","60620","1172077.54001621","1849815.00371582","21","6","71","41.74333916063","-87.64507589552","(41.743339160625, -87.645075895524)"
"Vacant/Abandoned Building","18-03188150","11/19/2018","Rear",,"Open",,"Vacant","false","true","8538","S","CHAPPEL","AVE","60617","1191332.09206792","1848764.02558151","8","4","45","41.74001092595","-87.57456097807","(41.740010925954, -87.574560978074)"
"Vacant/Abandoned Building","18-03184109","11/19/2018","Front",,"Open",,"Vacant","false","true","4040","W","ROSCOE","ST","60641","1148922.0457765","1922458.249904","30","17","16","41.9431585973","-87.7280439262","(41.943158597304, -87.728043926197)"
"Vacant/Abandoned Building","18-03189218","11/19/2018","Front",,"Open","FRONT","Vacant","false","true","1113","S","MOZART","ST","60612","1157524.69999065","1895160.92001058","28","11","29","41.86808138609","-87.69716883466","(41.868081386087, -87.697168834658)"
"Vacant/Abandoned Building","18-03188668","11/19/2018","Rear",,"Open","REAR","Vacant","false","false","8536","S","CHAPPEL","AVE","60617","1191331.79206792","1848777.42558151","8","4","45","41.74004770404","-87.57456164434","(41.740047704043, -87.574561644339)"
"Vacant/Abandoned Building","18-03184860","11/19/2018","Front",,"Open","WINDOWS ARE BUSTED OUT","Vacant","false","true","8549","S","KINGSTON","AVE","60617","1194649.41691331","1848781.27800096","7","4","46","41.73997736271","-87.56240640783","(41.739977362713, -87.56240640783)"
"Vacant/Abandoned Building","18-03190024","11/19/2018","Front",,"Open","FRONT DOOR","Vacant","false","true","6717","S","MARSHFIELD","AVE","60636","1166493.89751037","1860165.49200743","16","7","67","41.77186305398","-87.66524018201","(41.771863053985, -87.665240182009)"
"Vacant/Abandoned Building","18-03186547","11/19/2018","Rear",,"Open","WINDOW","Vacant","false","true","8544","S","SEELEY","AVE","60620","1164177.52559392","1848006.97400844","18","6","71","41.73854739891","-87.67407282349","(41.738547398914, -87.674072823486)"
"Vacant/Abandoned Building","18-03184359","11/19/2018","Rear",,"Boarded",,"Vacant","false","false","2130","S","CHRISTIANA","AVE","60623","1154359.98000496","1889516.08002432","24","10","30","41.85265508294","-87.70893789636","(41.85265508294, -87.708937896359)"
"Vacant/Abandoned Building","18-03187134","11/19/2018","Front",,"Open","FRONT","Vacant","true","false","8216","S","KEDZIE","AVE","60652","1156476.71063201","1849946.94551848","18","8","70","41.74402942014","-87.70223505786","(41.744029420138, -87.702235057863)"
"Vacant/Abandoned Building","18-03188032","11/19/2018","Front",,"Boarded",,"Vacant","false","false","26","E","101ST","PL","60628","1178302.38452566","1837683.08007802","9","5","49","41.70990872564","-87.62263483494","(41.709908725642, -87.62263483494)"
"Vacant/Abandoned Building","18-03190346","11/19/2018","Rear",,"Boarded","REAR","Vacant","false","false","6430","S","RHODES","AVE","60637","1181007.24273002","1862496.44607061","20","3","42","41.77793772704","-87.61196753453","(41.777937727037, -87.611967534533)"
"Vacant/Abandoned Building","18-03186833","11/19/2018","Front",,"Open",,"Vacant","false","false","11312","S","ABERDEEN","ST","60643","1171016.87391538","1829719.81712664","34","22","75","41.68821819637","-87.64954699367","(41.688218196369, -87.649546993669)"
"Vacant/Abandoned Building","18-03187894","11/19/2018","Front",,"Open","FRONT DOORS.. UNLASHED DOOR..","Vacant","false","true","7818","S","EAST END","AVE","60649","1188893.68307245","1853477.16921235","8","4","43","41.75300288661","-87.58334433326","(41.753002886607, -87.583344333258)"
"Vacant/Abandoned Building","18-03181549","11/18/2018","Front",,"Boarded","WINDOW SECOND FLOOR","Vacant","true","false","1644","N","KEELER","AVE","60639","1148136.85039178","1910598.78261318","26","25","23","41.9106303126","-87.73123601896","(41.910630312598, -87.731236018959)"
"Vacant/Abandoned Building","18-03180838","11/18/2018","Front",,"Open","BACK DOOR","Vacant","false","false","12137","S","WALLACE","ST","60628","1174499.00721529","1824407.25672199","34","5","53","41.67356313513","-87.63695638811","(41.673563135126, -87.636956388112)"
"Vacant/Abandoned Building","18-03179432","11/18/2018","Rear",,"Open","REAR","Vacant","false","true","922","W","54TH","PL","60609","1171085.1307058","1868684.7448271","20","9","61","41.79514176576","-87.64816134528","(41.795141765758, -87.648161345277)"
"Vacant/Abandoned Building","18-03176436","11/17/2018","Front",,"Open","FRONT","Vacant","false","false","2550","W","THOMAS","ST","60622","1159538.39371214","1907236.28740258","1","12","24","41.90117609429","-87.68944353993","(41.901176094287, -87.689443539926)"
"Vacant/Abandoned Building","18-03176304","11/17/2018","Front",,"Open","WINDOWS","Vacant","false","true","10804","S","UNION","AVE","60628","1173562.58487178","1833221.49630515","34","22","49","41.69777151551","-87.64012418378","(41.697771515512, -87.640124183782)"
"Vacant/Abandoned Building","18-03176192","11/17/2018","Front",,"Open","FRONT","Vacant","false","false","11921","S","NORMAL","AVE","60628","1175111.97788418","1825849.52800502","34","5","53","41.67750734184","-87.63467006206","(41.67750734184, -87.634670062062)"
"Vacant/Abandoned Building","18-03171845","11/16/2018","Front",,"Open",,"Vacant","false","true","5834","N","LINCOLN","AVE","60659","1155734.21997818","1938675.66007741","40","20","2","41.98752538987","-87.70256685743","(41.987525389875, -87.702566857435)"
"Vacant/Abandoned Building","18-03174412","11/16/2018","Front",,"Open","FRONT AND BACK DOOR","Vacant","false","true","9420","S","ADA","ST","60620","1168982.92001435","1842287.10168888","21","22","73","41.72274887133","-87.65663162168","(41.722748871328, -87.656631621681)"
"Vacant/Abandoned Building","18-03172146","11/16/2018",,,,,,,,"6730","S","PAXTON","AVE","60649","1192034.04020631","1860773.65531829","5","3","43","41.77294932472","-87.57159957787","(41.772949324724, -87.571599577868)"
"Vacant/Abandoned Building","18-03169297","11/16/2018","Front",,"Open",,"Vacant","true","false","7339","S","UNIVERSITY","AVE","60619","1185152.26578358","1856578.84960145","5","3","69","41.7616028806","-87.59695768352","(41.761602880599, -87.596957683516)"
"Vacant/Abandoned Building","18-03168462","11/16/2018",,,,,,,,"3121","W","53RD","ST","60632","1156378.4399114","1869320.07388967","14","9","63","41.79719419776","-87.70207412523","(41.797194197764, -87.702074125235)"
"Vacant/Abandoned Building","18-03170151","11/16/2018","Front",,"Open",,"Vacant","true","false","5006","S","ELIZABETH","ST","60609","1168837.90991796","1871583.08310534","20","9","61","41.80314398726","-87.65631820916","(41.803143987256, -87.656318209159)"
"Vacant/Abandoned Building","18-03172960","11/16/2018","Rear",,"Open",,"Vacant","false","false","1510","W","FRY","ST","60642","1166157.95022634","1905758.64151789","1","12","24","41.89698242097","-87.66517164988","(41.896982420972, -87.665171649881)"
"Vacant/Abandoned Building","18-03168244","11/16/2018","Front",,"Open","OPEN AND DANGEROUS","Vacant","true","false","6558","S","MORGAN","ST","60621","1170772.67516799","1861333.07102312","6","7","68","41.77497475197","-87.64952152151","(41.774974751975, -87.649521521508)"
"Vacant/Abandoned Building","18-03168900","11/16/2018","Rear",,"Open","REAR OF BUILDING","Vacant","false","false","1518","S","CHRISTIANA","AVE","60623","1154279.47979942","1892390.71219347","24","10","29","41.86054500707","-87.70915665955","(41.860545007066, -87.709156659552)"
"Vacant/Abandoned Building","18-03170266","11/16/2018","Rear",,"Open",,"Vacant","false","true","2221","S","LAWNDALE","AVE","60623","1152054.31473228","1888914.49192782","22","10","30","41.85104994761","-87.7174162946","(41.851049947612, -87.717416294595)"
"Vacant/Abandoned Building","18-03174513","11/16/2018","Front",,"Open",,"Vacant","true","false","7339","S","UNIVERSITY","AVE","60619","1185152.26578358","1856578.84960145","5","3","69","41.7616028806","-87.59695768352","(41.761602880599, -87.596957683516)"
"Vacant/Abandoned Building","18-03164748","11/15/2018","Front",,"Open",,"Vacant","false","false","2822","S","THROOP","ST","60608","1169426.76577119","1886126.11802346","11","9","60","41.84303877908","-87.65373672436","(41.843038779075, -87.653736724363)"
"Vacant/Abandoned Building","18-03165341","11/15/2018","Front",,"Boarded","SIDE OF THE HOUSE","Vacant","false","true","8738","S","WABASH","AVE","60619","1178238.12038827","1847072.70017397","9","6","44","41.7356765167","-87.6225862804","(41.735676516697, -87.622586280395)"
"Vacant/Abandoned Building","18-03162744","11/15/2018",,,,,,,,"9749","S","AVENUE N",,"60617","1201140.03643425","1841054.07590416","10","4","52","41.71861133426","-87.53888752555","(41.718611334262, -87.538887525553)"
"Vacant/Abandoned Building","18-03163073","11/15/2018","Front",,"Open","WINDOW","Vacant","false","true","6913","S","GREEN","ST","60621","1171828.23880447","1859011.34971189","6","7","68","41.7685805736","-87.64572002878","(41.768580573599, -87.645720028777)"
"Vacant/Abandoned Building","18-03166272","11/15/2018","Rear",,"Open","FRONT AND BACK OF THE PROPERTY","Vacant","false","true","4130","W","78TH","PL","60652","1150195.28001674","1852093.52558965","18","8","70","41.75004412336","-87.72519553188","(41.750044123364, -87.725195531875)"
"Vacant/Abandoned Building","18-03164551","11/15/2018","Front",,"Open",,"Vacant","false","false","1825","W","115TH","ST","60643","1166301.74913187","1828408.36189398","34","22","75","41.6847207461","-87.66684589893","(41.684720746098, -87.666845898933)"
"Vacant/Abandoned Building","18-03165159","11/15/2018",,,,,,,,"7018","S","VERNON","AVE","60637","1180460.62128852","1858584.90807858","6","3","69","41.76721663829","-87.61409136888","(41.767216638294, -87.614091368884)"
"Vacant/Abandoned Building","18-03164779","11/15/2018","Front",,"Open",,"Vacant","false","false","2847","S","ARCHER","AVE","60608","1168853.93111382","1885985.68821899","11","9","60","41.84266584596","-87.65584294417","(41.84266584596, -87.65584294417)"
"Vacant/Abandoned Building","18-03166696","11/15/2018","Front",,"Boarded",,"Vacant","false","false","5831","W","NEWPORT","AVE","60634","1136884.9134786","1922345.49968907","36","16","15","41.94307391854","-87.77228971554","(41.94307391854, -87.772289715537)"
"Vacant/Abandoned Building","18-03166430","11/15/2018","Front",,"Open","FRONT DOOR","Vacant","false","true","37","E","101ST","PL","60628","1178415.58452566","1837686.28007802","9","5","49","41.70991494227","-87.62222018462","(41.709914942273, -87.622220184619)"
"Vacant/Abandoned Building","18-03163257","11/15/2018","Front",,"Open",,"Vacant","false","true","6907","S","SANGAMON","ST","60621","1171168.50273259","1859033.40727819","6","7","68","41.76865555023","-87.64813763948","(41.768655550231, -87.648137639481)"
"Vacant/Abandoned Building","18-03155547","11/14/2018","Front",,"Open",,"Vacant","false","false","5647","N","KEYSTONE","AVE","60646","1148376.5310255","1937165.42588437","39","17","13","41.98352672034","-87.72966814299","(41.983526720337, -87.729668142991)"
"Vacant/Abandoned Building","18-03156415","11/14/2018","Front",,"Open",,"Vacant","false","false","9849","S","CHARLES","ST","60643","1167525.25869474","1839540.03441253","19","22","72","41.7152418139","-87.66204933494","(41.715241813904, -87.662049334942)"
"Vacant/Abandoned Building","18-03153294","11/14/2018",,,,,,,,"7634","S","ADA","ST","60620","1168769.77997013","1853926.38998531","17","6","71","41.754693328","-87.65707731817","(41.754693327995, -87.657077318169)"
"Vacant/Abandoned Building","18-03158242","11/14/2018","Front",,"Open",,"Vacant","false","true","5908","W","63RD","ST","60638","1138078.03473151","1862162.99431449","13","8","64","41.77790308422","-87.76935737931","(41.777903084224, -87.769357379308)"
"Vacant/Abandoned Building","18-03154820","11/14/2018","Front",,"Open",,"Vacant","false","false","12201","S","HARVARD","AVE","60628","1176154.65096729","1824015.92997371","34","5","53","41.67245239582","-87.63090827326","(41.672452395816, -87.630908273258)"
"Vacant/Abandoned Building","18-03159421","11/14/2018","Front",,"Open","REAR","Vacant","false","false","6300","S","COTTAGE GROVE","AVE","60637","1182646.41712533","1863411.23581547","20","3","42","41.78041010526","-87.60592997007","(41.780410105256, -87.605929970071)"
"Vacant/Abandoned Building","18-03156337","11/14/2018","Rear",,"Boarded",,"Vacant","false","false","2038","E","73RD","ST","60649","1191176.03020124","1856969.4462061","5","3","43","41.7625310863","-87.57486773755","(41.7625310863, -87.574867737547)"
"Vacant/Abandoned Building","18-03154492","11/14/2018","Front",,"Open",,"Vacant","false","false","12456","S","EGGLESTON","AVE","60628","1175556.4652159","1822311.42757174","34","5","53","41.66778832655","-87.63314833252","(41.667788326547, -87.633148332521)"
"Vacant/Abandoned Building","18-03154235","11/14/2018","Front",,"Open",,"Vacant","false","false","6222","S","WOOD","ST","60636","1165415.08537639","1863420.74038502","15","7","67","41.78081881009","-87.66910260632","(41.780818810089, -87.669102606316)"
"Vacant/Abandoned Building","18-03158016","11/14/2018","Front",,"Open","FRONT WINDOW","Vacant","false","false","7114","S","WINCHESTER","AVE","60636","1164585.52397455","1857490.46016883","17","7","67","41.76456286909","-87.67231105384","(41.76456286909, -87.672311053842)"
"Vacant/Abandoned Building","18-03157302","11/14/2018","Front",,"Open","FRONT WINDOWS ARE BUSTED OUT. AND DOORS ARE UNLOCKED..","Vacant","false","true","8532","S","WABASH","AVE","60619","1178199.16436635","1848444.30761965","6","6","44","41.73944125849","-87.6226875059","(41.739441258487, -87.622687505897)"
"Vacant/Abandoned Building","18-03152799","11/14/2018","Front",,"Open",,"Vacant","false","true","7326","S","ALBANY","AVE","60629","1156974.61407882","1855881.05186828","18","8","66","41.76030351843","-87.70025068282","(41.760303518434, -87.700250682825)"
"Vacant/Abandoned Building","18-03154418","11/14/2018","Front",,"Open","FRONT","Vacant","false","false","12452","S","EGGLESTON","AVE","60628","1175555.4652159","1822338.12757174","34","5","53","41.66786161797","-87.63315119836","(41.667861617974, -87.633151198365)"
"Vacant/Abandoned Building","18-03157439","11/14/2018","Front",,"Open","FRONT AND REAR","Vacant","false","false","8656","S","BURNHAM","AVE","60617","1196321.36652937","1848115.53570784","10","4","46","41.73810924823","-87.556302762","(41.738109248233, -87.556302762)"
"Vacant/Abandoned Building","18-03155450","11/14/2018","Front",,"Open",,"Vacant","false","true","1214","W","109TH","ST","60643","1170171.88608925","1832503.25988722","34","22","75","41.69587477788","-87.652559898","(41.695874777883, -87.652559897998)"
"Vacant/Abandoned Building","18-03156898","11/14/2018","Front",,"Open",,"Vacant","false","false","405","E","88TH","PL","60619","1180496.55927892","1846394.87562853","9","6","44","41.73376500739","-87.61433302574","(41.733765007388, -87.614333025736)"
"Vacant/Abandoned Building","18-03156246","11/14/2018","Front",,"Boarded",,"Vacant","false","false","11841","S","UNION","AVE","60628","1173779.00008909","1826356.0157735","34","5","53","41.67892678284","-87.63953424429","(41.678926782843, -87.639534244288)"
"Vacant/Abandoned Building","18-03154908","11/14/2018","Front",,"Open","FRONT","Vacant","false","false","12236","S","YALE","AVE","60628","1176818.37891323","1823795.05291482","34","5","53","41.67183140181","-87.62848563122","(41.671831401811, -87.628485631223)"
"Vacant/Abandoned Building","18-03155508","11/14/2018",,,,,,,,"7917","S","EUCLID","AVE","60617","1190576.03801954","1852863.72801772","8","4","46","41.75127914126","-87.57719902162","(41.751279141264, -87.577199021615)"
"Vacant/Abandoned Building","18-03157482","11/14/2018","Garage",,"Open",,"Vacant","false","false","9218","S","GREEN","ST","60620","1172266.01348204","1843677.82299633","21","22","73","41.7264937592","-87.64456527707","(41.726493759196, -87.644565277075)"
"Vacant/Abandoned Building","18-03153130","11/14/2018","Rear",,"Boarded","FRONT","Vacant","false","false","11132","S","STATE","ST","60628","1178236.53759574","1831039.07920664","34","5","49","41.69167814533","-87.62307663387","(41.691678145327, -87.623076633874)"
"Vacant/Abandoned Building","18-03155079","11/14/2018","Front",,"Open","FRONT","Vacant","false","false","12322","S","PARNELL","AVE","60628","1174867.34738723","1823183.31082579","34","5","53","41.67019625308","-87.63564450219","(41.670196253082, -87.635644502187)"
"Vacant/Abandoned Building","18-03152866","11/14/2018","Rear",,"Open",,"Vacant","false","true","4952","W","OHIO","ST","60644","1143236.12548575","1903537.55398722","37","15","25","41.89134649369","-87.74941624191","(41.891346493688, -87.749416241908)"
"Vacant/Abandoned Building","18-03148368","11/13/2018",,,"Boarded",,"Vacant",,,"5428","S","BISHOP","ST","60609","1167589.20033174","1868747.65707505","20","9","61","41.79539015052","-87.66097914836","(41.795390150519, -87.660979148363)"
"Vacant/Abandoned Building","18-03148178","11/13/2018","Rear",,"Open","REAR","Vacant","false","false","5424","S","DEARBORN","ST","60609","1176897.96416667","1869029.64540766","3","2","40","41.79595909356","-87.62683534978","(41.795959093557, -87.626835349776)"
"Vacant/Abandoned Building","18-03149347","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12418","S","PARNELL","AVE","60628","1174889.3806835","1822549.28350531","34","5","53","41.66845588926","-87.63558265095","(41.668455889261, -87.635582650947)"
"Vacant/Abandoned Building","18-03146557","11/13/2018","Front",,"Open",,"Vacant","false","false","6127","N","MONTICELLO","AVE","60659","1150936.52659424","1940436.11126731","50","17","13","41.99245177001","-87.72016675243","(41.992451770009, -87.720166752433)"
"Vacant/Abandoned Building","18-03150543","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12453","S","EGGLESTON","AVE","60628","1175555.7652159","1822331.42757174","34","5","53","41.6678432254","-87.63315029966","(41.667843225399, -87.633150299659)"
"Vacant/Abandoned Building","18-03150582","11/13/2018","Front",,"Open",,"Vacant","false","false","12214","S","HARVARD","AVE","60628","1176157.35096729","1823928.72997371","34","5","53","41.67221304478","-87.63090099281","(41.672213044776, -87.630900992809)"
"Vacant/Abandoned Building","18-03144169","11/13/2018","Front",,"Open",,"Vacant","false","false","5050","S","PRAIRIE","AVE","60615","1178887.45372835","1871930.43482125","3","2","38","41.80387402346","-87.61945149283","(41.803874023456, -87.619451492835)"
"Vacant/Abandoned Building","18-03149174","11/13/2018","Front",,"Boarded","FRONT","Vacant","false","false","12405","S","PARNELL","AVE","60628","1174886.2806835","1822636.18350531","34","5","53","41.66869442593","-87.63559142132","(41.668694425929, -87.635591421323)"
"Vacant/Abandoned Building","18-03150617","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12447","S","STEWART","AVE","60628","1175882.84002052","1822378.59017509","34","5","53","41.66796534864","-87.63195188067","(41.667965348643, -87.631951880665)"
"Vacant/Abandoned Building","18-03145627","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","7337","S","GREEN","ST","60621","1171907.02522811","1856199.77630105","6","7","68","41.76086354162","-87.64551364746","(41.760863541618, -87.645513647458)"
"Vacant/Abandoned Building","18-03150160","11/13/2018","Front",,"Open",,"Vacant","false","false","12435","S","PARNELL","AVE","60628","1174893.4806835","1822435.68350531","34","5","53","41.6681440612","-87.63557101202","(41.668144061199, -87.635571012021)"
"Vacant/Abandoned Building","18-03146943","11/13/2018","Front",,"Open",,"Vacant","false","true","3518","W","POLK","ST","60624","1153050.27379292","1896144.28170879","24","11","27","41.87086965552","-87.71356933578","(41.870869655524, -87.713569335782)"
"Vacant/Abandoned Building","18-03145762","11/13/2018",,,,,,,,"2653","W","LITHUANIAN PLAZA","CT","60629","1159794.03503277","1858790.45432188","17","8","66","41.76822994577","-87.68983759122","(41.768229945769, -87.689837591221)"
"Vacant/Abandoned Building","18-03150515","11/13/2018","Front",,"Boarded","FRONT","Vacant","false","false","12431","S","EGGLESTON","AVE","60628","1175550.15012948","1822478.09658678","34","5","53","41.66824583415","-87.63316648846","(41.668245834147, -87.63316648846)"
"Vacant/Abandoned Building","18-03147398","11/13/2018","Front",,"Open",,"Vacant","false","false","6342","S","EGGLESTON","AVE","60621","1174366.77351635","1862786.15037041","20","7","68","41.77888298699","-87.63630293291","(41.778882986989, -87.636302932913)"
"Vacant/Abandoned Building","18-03150608","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12442","S","STEWART","AVE","60628","1175881.64002052","1822411.79017509","34","5","53","41.6680564816","-87.6319552835","(41.668056481604, -87.631955283504)"
"Vacant/Abandoned Building","18-03150621","11/13/2018","Front",,"Open",,"Vacant","false","false","12450","S","STEWART","AVE","60628","1175871.14002052","1822691.09017509","34","5","53","41.66882316034","-87.63198539227","(41.668823160342, -87.631985392274)"
"Vacant/Abandoned Building","18-03149449","11/13/2018","Front",,"Open",,"Vacant","false","true","12426","S","PARNELL","AVE","60628","1174891.2806835","1822495.88350531","34","5","53","41.66830930872","-87.63557727969","(41.668309308721, -87.635577279691)"
"Vacant/Abandoned Building","18-03150423","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12424","S","EGGLESTON","AVE","60628","1175548.45012948","1822524.79658678","34","5","53","41.66837402442","-87.6331713215","(41.668374024415, -87.633171321503)"
"Vacant/Abandoned Building","18-03150653","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12450","S","NORMAL","AVE","60628","1175214.11429686","1822677.61890228","34","5","53","41.66880084125","-87.63439038369","(41.668800841251, -87.634390383686)"
"Vacant/Abandoned Building","18-03148726","11/13/2018","Front",,"Open",,"Vacant","false","false","1307","W","73RD","ST","60636","1168670.52951577","1856357.88628748","17","7","67","41.76136781749","-87.65737102573","(41.761367817488, -87.657371025728)"
"Vacant/Abandoned Building","18-03150670","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12441","S","NORMAL","AVE","60628","1175224.21429686","1822403.81890228","34","5","53","41.66804926472","-87.63436154703","(41.668049264718, -87.634361547028)"
"Vacant/Abandoned Building","18-03150598","11/13/2018","Front",,"Open",,"Vacant","false","false","12222","S","HARVARD","AVE","60628","1176159.05096729","1823875.12997371","34","5","53","41.67206591983","-87.63089636995","(41.672065919834, -87.630896369949)"
"Vacant/Abandoned Building","18-03150121","11/13/2018","Front",,"Open",,"Vacant","false","false","12437","S","PARNELL","AVE","60628","1174893.8806835","1822422.38350531","34","5","53","41.66810755494","-87.63556994222","(41.668107554937, -87.635569942217)"
"Vacant/Abandoned Building","18-03150341","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12445","S","PARNELL","AVE","60628","1174895.7806835","1822368.88350531","34","5","53","41.66796069997","-87.63556457397","(41.667960699971, -87.635564573972)"
"Vacant/Abandoned Building","18-03150474","11/13/2018","Front",,"Open",,"Vacant","false","false","12430","S","EGGLESTON","AVE","60628","1175549.95012948","1822484.79658678","34","5","53","41.66826422449","-87.6331670212","(41.668264224492, -87.633167021196)"
"Vacant/Abandoned Building","18-03150452","11/13/2018","Front",,"Open",,"Vacant","false","false","12419","S","EGGLESTON","AVE","60628","1175547.15012948","1822558.09658678","34","5","53","41.66846543399","-87.63317508908","(41.668465433993, -87.633175089082)"
"Vacant/Abandoned Building","18-03150071","11/13/2018","Front",,"Open","FRONT AND REAR","Vacant","false","true","7638","S","MERRILL","AVE","60649","1191861.04718103","1854743.08079084","8","4","43","41.756405157","-87.57242926858","(41.756405157003, -87.572429268576)"
"Vacant/Abandoned Building","18-03150030","11/13/2018","Front",,"Open",,"Vacant","false","false","12440","S","PARNELL","AVE","60628","1174894.5806835","1822402.28350531","34","5","53","41.6680523817","-87.63556797598","(41.668052381697, -87.635567975981)"
"Vacant/Abandoned Building","18-03150564","11/13/2018","Front",,"Open","FRONT","Vacant","false","false","12457","S","EGGLESTON","AVE","60628","1175556.7652159","1822304.72757174","34","5","53","41.66776993397","-87.63314743382","(41.667769933971, -87.633147433816)"
"Vacant/Abandoned Building","18-03146498","11/13/2018",,,,,,,,"301","W","47TH","ST","60609","1175066.88608982","1873794.11726803","3","9","37","41.80907437006","-87.63340770463","(41.809074370065, -87.633407704633)"
"Vacant/Abandoned Building","18-03149582","11/13/2018","Front",,"Open",,"Vacant","false","true","12428","S","PARNELL","AVE","60628","1174891.7806835","1822482.48350531","34","5","53","41.66827252582","-87.63557584687","(41.668272525821, -87.635575846868)"
"Vacant/Abandoned Building","18-03142446","11/12/2018","Front",,"Open",,"Vacant","true","true","7430","N","SHERIDAN","RD","60626","1165753.52057835","1949539.9478","49","24","1","42.01712881612","-87.66540371864","(42.017128816118, -87.665403718635)"
"Vacant/Abandoned Building","18-03139130","11/12/2018","Rear",,"Open","THE DOOR IS WIDE OPEN..","Vacant","false","true","6754","S","MARSHFIELD","AVE","60636","1166502.99013354","1859917.69430506","16","7","67","41.77118287082","-87.6652139077","(41.771182870816, -87.665213907695)"
"Vacant/Abandoned Building","18-03139679","11/12/2018","Front",,"Open","SIDE","Vacant","false","false","1216","E","69TH","ST","60637","1185591.02011969","1859598.50739734","5","3","69","41.76987878309","-87.59525466003","(41.76987878309, -87.595254660027)"
"Vacant/Abandoned Building","18-03141420","11/12/2018","Front",,"Open",,"Vacant","false","false","8337","S","BURNHAM","AVE","60617","1196276.7150007","1850229.83551121","7","4","46","41.7439121616","-87.5563964159","(41.7439121616, -87.556396415903)"
"Vacant/Abandoned Building","18-03140646","11/12/2018","Rear",,"Open","WINDOWS ARE OPEN","Vacant","true","true","5935","S","RACINE","AVE","60636","1169336.13221858","1865427.56989241","16","7","68","41.78624177499","-87.65466921821","(41.78624177499, -87.654669218215)"
"Vacant/Abandoned Building","18-03141050","11/12/2018","Front",,"Open","REAR","Vacant","false","true","7148","S","WINCHESTER","AVE","60636","1164591.82397455","1857262.56016883","17","7","67","41.7639373471","-87.67229438197","(41.763937347102, -87.67229438197)"
"Vacant/Abandoned Building","18-03137278","11/12/2018","Front",,"Open","FRONT","Vacant","false","true","2800","W","DIVISION","ST","60622","1157509.36532386","1907858.6340845","26","14","24","41.90292541484","-87.69687939792","(41.902925414836, -87.696879397917)"
"Vacant/Abandoned Building","18-03135389","11/11/2018","Front",,"Boarded",,"Vacant","false","false","8125","S","HALSTED","ST","60620","1172383.31887881","1850984.36569361","21","6","71","41.74654132705","-87.64392117906","(41.746541327048, -87.643921179059)"
